Destination Id,Landmarks,Landmark ID
1904726,City center,1904726
863503,City center,863503
863503,"Alamos, Sonora (XAL)",1648352
863503,Municipal Market,10456138
863503,Museum of Sonoran History and Culture,10540429
863503,Church of the Immaculate Conception,10534424
851540,City center,851540
857225,City center,857225
857225,Cave of Swallows,10521297
857225,Tambaque,10895001
830058,City center,830058
830058,Monterreal Ski Resort,1674441
830058,"Saltillo, Coahuila (SLW-Plan de Guadalupe Intl.)",1648338
846625,City center,846625
846625,Atlixco Square,1797651
846625,"Puebla, Puebla (PBC-Hermanos Serdan Intl.)",1648326
846625,El Cristo Golf Club,1727172
846625,Hermita San Miguel Arcangel,1727170
846625,Convento de San Francisco,10459873
846625,Capilla de la Tercera Orden,10459853
846625,Atlixco Nurseries,12910769
846625,Megaviveros Plant Nursery,12910286
848101,City center,848101
848101,Laguna Bacalar Ecological Park,12513983
848101,"Chetumal, Quintana Roo (CTM-Chetumal Intl.)",1648293
848101,Lake Bacalar,12483927
848101,Fort of San Felipe,1797566
848101,Cenote Cocalitos,12509687
837067,City center,837067
837067,Cascada de Basaseachi,10554254
837067,Hacienda San Miguel,10454608
837067,Batopilas Museum,10554255
837067,Plaza de la Constitucion,10454575
837067,Satevó Mission,12513532
826278,City center,826278
10404699,City center,10404699
10404699,"Queretaro, Queretaro (QRO-Queretaro Intl.)",1648332
10404699,Grutas La Esperanza,10521290
10404699,Jardin Botanico Quinta Schmoll,10521291
838479,City center,838479
838479,Church of Señor del Salitre,11425847
838479,Calvillo Museum,11425742
11114551,No landmarks,No landmarks
10414096,City center,10414096
860236,City center,860236
860236,Paquimé,10554210
842425,City center,842425
842425,Marimba Park,1728206
842425,Tuxtla Gutierrez (TGZ-Angel Albino Corzo Intl),1804306
842425,Ambar Fashion Mall,10982710
842425,Tuxtla Planetarium,10806518
842425,Plaza Ambar,10982711
842425,Tuxtla Guitierrez Central Square,1773839
842425,Plaza Bonampak Shopping Mall,1773843
842425,Chiapas Polyforum and Convention Center,1773838
842425,Plaza Crystal Shopping Mall,1773845
842425,Emilio Rabasa Theater,1773848
842425,Coffee Museum,10441322
842425,Miguel Alvarez del Toro Zoo,1773835
842425,Cana Hueca Park,1773851
842425,Plaza las Americas Shopping Mall,1773844
842425,Bicentennial Park,10806517
842425,Dr. Faustino Miranda Botanical Garden,1773853
842425,Museum of the City of Tuxtla Gutiérrez,10806519
842425,Parque Convivencia Infantil,10807215
842425,Mirador Los Amorosos,10807220
843578,City center,843578
859789,City center,859789
859789,"Xalapa, Veracruz (JAL-El Lencero)",1648307
859789,Church of Guadaloupe,1798548
859789,Cerro de Culebra,10554148
859789,Hidalgo Park,1798549
859789,Cascada Bola de Oro,10554149
859789,Museo El Cafétal Apan,10554146
859789,Church of San Jeronimo,1798550
859789,Coatepec Market,1798551
859789,Parque Miguel Hidalgo,10554147
859789,Museo y Jardin de Orquideas,10554145
864113,City center,864113
864113,"Colima, Colima (CLQ-Licenciado Miguel de la Madrid)",1648290
864113,Main Square,10540381
835223,City center,835223
835223,Comitan Archaeological Museum,10554283
835223,Iglesia de Santo Domingo,10554282
835223,Tenam Puente Archaeological Zone,10554281
835223,Casa Museo Dr Belisario Domínguez,10554284
835223,Hermila Castellanos Dominguez Art Museum,10441388
11116080,City center,11116080
1640005,City center,1640005
1640005,"Puerto Vallarta, Jalisco (PVR-Licenciado Gustavo Diaz Ordaz Intl.)",905018
1640005,Fisherman's Memorial,1779778
1640005,Bridge of Life,1779777
1640005,Tianguis Market,1779784
1640005,Playa Beso,12684796
846670,City center,846670
10414296,City center,10414296
843399,City center,843399
843399,Areponapuchic Divisadero Station,1797196
843399,San Ignacio Mission,10440743
843399,Copper Canyon Adventure Park,1797202
843399,Craft Arts Museum of the State of Chihuahua,10554256
843399,Teleferico Barrancas,1797208
10398391,City center,10398391
10398391,Carranza Museums,10554206
10398391,Cuatrocienegas Central Plaza,10459028
10398391,Poza Azul Lake,10459074
10398391,Las Playitas Natural Area,10459014
826357,City center,826357
826357,Las Brisas Waterfall,10450208
826357,Yohualichan Archaeological Site,10450128
826357,Church of San Francisco,10450118
11115632,City center,11115632
11115632,"Morelia, Michoacan (MLM-General Francisco Mujica Intl.)",1648318
11115632,Santa Maria Magdalena,10521274
