Ciudad,Estado,Ciudad_Estado 
Aculco,Estado de Mexico,"Aculco, Estado de Mexico"
Alamos, Sonora,"Alamos,  Sonora"
Amealco,Queretaro,"Amealco, Queretaro"
Aquismon, San Luis Potosi,"Aquismon,  San Luis Potosi"
Arteaga, Coahuila,"Arteaga,  Coahuila"
Atlixco, Puebla,"Atlixco,  Puebla"
Bacalar, Quintana Roo,"Bacalar,  Quintana Roo"
Batopilas, Chihuahua,"Batopilas,  Chihuahua"
Bustamante, Nuevo Leon,"Bustamante,  Nuevo Leon"
Cadereyta de Montes,Queretaro,"Cadereyta de Montes, Queretaro"
Calvillo, Aguascalientes,"Calvillo,  Aguascalientes"
Candela, Coahuila,"Candela,  Coahuila"
Capulalpam de Mendez, Oaxaca,"Capulalpam de Mendez,  Oaxaca"
Casas Grandes, Chihuahua,"Casas Grandes,  Chihuahua"
Chiapa de Corzo, Chiapas,"Chiapa de Corzo,  Chiapas"
Chignahuapan, Puebla,"Chignahuapan,  Puebla"
Coatepec, Veracruz,"Coatepec,  Veracruz"
Comala, Colima,"Comala,  Colima"
Comitan, Chiapas,"Comitan,  Chiapas"
Comonfort, Guanajuato,"Comonfort,  Guanajuato"
Compostela, Nayarit,"Compostela,  Nayarit"
Cosala, Sinaloa,"Cosala,  Sinaloa"
Coscomatepec, Veracruz,"Coscomatepec,  Veracruz"
Creel, Chihuahua,"Creel,  Chihuahua"
Cuatro Cienegas, Coahuila,"Cuatro Cienegas,  Coahuila"
Cuetzalan del Progreso, Puebla,"Cuetzalan del Progreso,  Puebla"
Cuitzeo, Michoacan,"Cuitzeo,  Michoacan"
Dolores Hidalgo, Guanajuato,"Dolores Hidalgo,  Guanajuato"
El Oro de Hidalgo,Estado de Mexico,"El Oro de Hidalgo, Estado de Mexico"
Rosario, Sinaloa,"Rosario,  Sinaloa"
El Fuerte, Sinaloa,"El Fuerte,  Sinaloa"
Guadalupe, Zacatecas,"Guadalupe,  Zacatecas"
Guerrero, Coahuila,"Guerrero,  Coahuila"
Huamantla, Tlaxcala,"Huamantla,  Tlaxcala"
Huasca de Ocampo, Hidalgo,"Huasca de Ocampo,  Hidalgo"
Huauchinango, Puebla,"Huauchinango,  Puebla"
Huautla de Jimenez, Oaxaca,"Huautla de Jimenez,  Oaxaca"
Huichapan, Hidalgo,"Huichapan,  Hidalgo"
Isla Mujeres, Quintana Roo,"Isla Mujeres,  Quintana Roo"
Ixtapan de la Sal,Estado de Mexico,"Ixtapan de la Sal, Estado de Mexico"
Izamal, Yucatan,"Izamal,  Yucatan"
Jala, Nayarit,"Jala,  Nayarit"
Jalpa de Canovas, Guanajuato,"Jalpa de Canovas,  Guanajuato"
Jalpan de Serra, Queretaro,"Jalpan de Serra,  Queretaro"
Jerez de Garcia Salinas, Zacatecas,"Jerez de Garcia Salinas,  Zacatecas"
